Item,Recipe,Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Bauxite,Nitrogen Gas,SAM,Limestone,Crude Oil,Caterium Ore,Coal,Raw Quartz,Sulfur,Water,Uranium,Copper Ore,Iron Ore
Screw,Screw,71659.7,81707.6,1099.2,33422.8,1094.1,34188.6,2397.0,1165.5,635.7,894.8,2959.4,874.4,203.5,1134.6,737.2,7646.6,169.4,6847.4,7757.2
Quickwire,Alternate: Fused Quickwire,71518.7,82044.6,1026.7,33732.1,1079.8,33679.4,2443.0,1164.6,635.7,894.6,2895.3,378.4,203.2,1134.3,736.3,7722.6,169.2,7295.3,8059.4
Quickwire,Quickwire,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Black Powder,Alternate: Fine Black Powder,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Black Powder,Black Powder,71389.0,81310.8,1043.9,33385.9,1072.6,34197.7,2442.9,1161.6,635.7,894.4,2936.0,864.1,217.4,1133.9,735.4,7708.7,169.0,6861.2,7625.4
Ficsonium,Ficsonium,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Ficsonium Fuel Rod,Ficsonium Fuel Rod,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Singularity Cell,Singularity Cell,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Ballistic Warp Drive,Ballistic Warp Drive,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Iodine-Infused Filter,Iodine-Infused Filter,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Solid Biofuel,Solid Biofuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Alien Protein,Hog Protein,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Alien Protein,Spitter Protein,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Alien Protein,Stinger Protein,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Alien Protein,Hatcher Protein,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Biomass,Biomass (Mycelia),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Biomass,Biomass (Alien Protein),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Biomass,Biomass (Leaves),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Biomass,Biomass (Wood),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Alien DNA Capsule,Alien DNA Capsule,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Gas Filter,Gas Filter,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Fabric,Alternate: Polyester Fabric,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Fabric,Fabric,71357.9,81305.8,1042.8,33372.2,1071.7,34177.9,2442.9,1163.6,635.7,894.4,2929.2,864.0,202.9,1133.9,735.2,7715.1,168.9,6861.2,7625.2
Power Shard,Synthetic Power Shard,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Smokeless Powder,Smokeless Powder,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
